name,CAS,Pd,Fe,Hiyama Coupling,Cross Couplings,Buchwald-Hartwig Cross Coupling Reaction,Acetylations,Coupling Reactions,Stille Coupling,Sonogashira Coupling,Suzuki-Miyaura Coupling,solution phase peptide synthesis,Heck Reaction,Negishi Coupling
5-(Di-tert-butylphosphino)-1-(naphthalen-1-yl)-1H-pyrazole,894085-97-3,,,1,,1,,,1,1,1,,1,1
((4-Trifluoromethyl)phenyl)di-tert-butylphosphine,1228182-34-0,,,1,,1,,,1,1,1,,1,1
9-[2-(Diisopropylphosphino)phenyl]-9H-carbazole,1308652-65-4,,,1,,1,,,1,1,1,,1,1
N-[2-(Diphenylphosphino)benzylidene]cyclohexylamine,321155-13-9,,,1,,1,,,1,1,1,,1,1
Di(1-adamantyl)-(2-triisopropylsiloxyphenyl)phosphine,1384966-55-5,,,1,,1,,,1,1,1,,1,1
Neopentyl-tBu2P Pd G2,2230788-59-5,1,,1,,1,,,1,1,1,,1,1
"Chloro(η2-P,C-tris(2,4-di-tert-butylphenyl)phosphite)(tricyclohexylphosphine)palladium(II)",502964-53-6,1,,1,,1,,,1,1,1,,1,1
tert-Butyldiisopropylphosphine,51567-05-6,,,1,,1,,,1,1,1,,1,1
2-(Dimethylaminomethyl)ferrocen-1-yl-palladium(II) chloride Dinorbornylphosphine Complex,614753-51-4,1,1,1,,1,,,1,1,1,,1,1
Diethyl 4-(trifluoromethyl)benzylphosphonate,99578-68-4,,,1,,1,,,1,1,1,,1,1
